City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Iskateley,95,RU,1619799923,85,67.6803,53.1512,30.13,1.45
1,Puducherry,16,IN,1619799924,75,11.93,79.83,84.54,11.3
2,Ushuaia,75,AR,1619799925,87,-54.8,-68.3,41.0,2.3
3,Albany,100,US,1619799654,72,42.6001,-73.9662,55.99,1.99
4,Boralday,90,KZ,1619799925,40,43.3578,76.8594,73.4,17.9
5,Avarua,75,CK,1619799926,94,-21.2078,-159.775,77.0,2.3
6,Vestmannaeyjar,75,IS,1619799926,57,63.4427,-20.2734,44.6,13.8
7,Mataura,58,NZ,1619799927,93,-46.1927,168.8643,43.0,3.0
8,Mayya,0,RU,1619799927,69,61.7333,130.2811,35.6,6.71
9,Mahébourg,40,MU,1619799927,78,-20.4081,57.7,78.8,12.66
10,Gorno-Altaysk,100,RU,1619799928,91,51.9561,85.955,45.63,2.75
11,Upernavik,92,GL,1619799928,76,72.7868,-56.1549,34.03,6.06
12,Bluff,52,NZ,1619799929,93,-46.6,168.3333,43.0,3.0
13,Hobart,2,AU,1619799929,82,-42.8794,147.3294,51.8,5.75
14,Barrow,90,US,1619799930,86,71.2906,-156.7887,19.4,4.61
15,Abu Samrah,0,SY,1619799931,23,35.3029,37.1841,78.24,18.1
16,Nhulunbuy,65,AU,1619799931,88,-12.2333,136.7667,75.2,5.75
17,Cherskiy,98,RU,1619799932,100,68.75,161.3,-2.36,2.17
18,Lavrentiya,28,RU,1619799932,92,65.5833,-171.0,11.25,5.39
19,Rikitea,49,PF,1619799651,74,-23.1203,-134.9692,78.8,19.1
20,Busselton,88,AU,1619799933,97,-33.65,115.3333,50.0,3.67
21,Aberdeen,75,GB,1619799917,81,57.1437,-2.0981,46.0,4.61
22,Saskylakh,100,RU,1619799933,87,71.9167,114.0833,32.56,9.33
23,Tiksi,93,RU,1619799934,85,71.6872,128.8694,28.42,4.5
24,Kruisfontein,0,ZA,1619799934,68,-34.0033,24.7314,59.0,10.65
25,Hasaki,20,JP,1619799935,94,35.7333,140.8333,53.6,1.14
26,Cape Town,0,ZA,1619799714,59,-33.9258,18.4232,62.01,19.57
27,Torbay,75,CA,1619799935,61,47.6666,-52.7314,48.2,14.97
28,Bredasdorp,43,ZA,1619799936,58,-34.5322,20.0403,59.0,3.44
29,Arraial do Cabo,20,BR,1619799674,69,-22.9661,-42.0278,78.8,10.36
30,Chokurdakh,35,RU,1619799936,93,70.6333,147.9167,-1.37,4.83
31,Novy Urengoy,100,RU,1619799853,96,66.0833,76.6333,30.43,13.53
32,Sept-Îles,90,CA,1619799693,71,50.2001,-66.3821,46.99,18.41
33,Ribeira Grande,75,PT,1619799937,67,38.5167,-28.7,62.6,8.05
34,Punta Arenas,90,CL,1619799694,100,-53.15,-70.9167,41.0,9.22
35,Mount Gambier,99,AU,1619799801,58,-37.8333,140.7667,55.4,9.22
36,São Filipe,88,CV,1619799938,75,14.8961,-24.4956,73.47,16.82
37,East London,0,ZA,1619799939,77,-33.0153,27.9116,62.6,9.22
38,Chul'man,100,RU,1619799939,98,56.8479,124.9104,27.77,2.1
39,Cidreira,0,BR,1619799939,62,-30.1811,-50.2056,71.76,12.75
40,São Félix do Xingu,100,BR,1619799940,58,-6.6447,-51.995,87.3,2.42
41,Vaini,75,TO,1619799940,94,-21.2,-175.2,75.2,8.05
42,Hammerfest,90,NO,1619799941,93,70.6634,23.6821,26.6,21.85
43,Mar del Plata,0,AR,1619799754,64,-38.0023,-57.5575,69.01,18.41
44,Lagoa,9,PT,1619799942,60,39.05,-27.9833,57.88,4.54
45,Jamestown,75,US,1619799942,70,42.097,-79.2353,44.6,17.27
46,Tweed,98,CA,1619799942,89,44.4751,-77.3162,48.0,8.99
47,Castro,28,BR,1619799943,52,-24.7911,-50.0119,67.23,10.98
48,Pacific Grove,1,US,1619799943,72,36.6177,-121.9166,57.2,7.99
49,Fortuna,1,US,1619799944,93,40.5982,-124.1573,61.0,4.61
50,Petropavl,62,KZ,1619799658,64,54.8753,69.1628,44.76,13.31
51,Khandyga,100,RU,1619799944,99,62.6667,135.6,29.17,1.23
52,Mackenzie,90,CA,1619799945,76,55.2999,-123.1698,44.6,10.36
53,Lüderitz,0,NA,1619799945,49,-26.6481,15.1594,68.13,26.51
54,Thompson,75,CA,1619799743,41,55.7435,-97.8558,39.2,5.75
55,Clyde River,90,CA,1619799946,100,70.4692,-68.5914,23.0,2.3
56,Flinders,11,AU,1619799946,88,-34.5833,150.8552,59.0,1.01
57,Isiro,99,CD,1619799947,77,2.7739,27.616,74.19,3.96
58,Atuona,21,PF,1619799947,71,-9.8,-139.0333,78.69,5.35
59,Kushmurun,34,KZ,1619799947,46,52.4503,64.6311,51.06,10.04
60,Bria,96,CF,1619799798,48,6.5423,21.9863,84.78,4.14
61,Urrao,98,CO,1619799948,87,6.3152,-76.1342,60.01,2.04
62,Tasiilaq,20,GL,1619799829,60,65.6145,-37.6368,33.8,12.66
63,Poltavka,48,RU,1619799950,59,54.3663,71.7632,48.02,10.04
64,Khatanga,100,RU,1619799951,95,71.9667,102.5,31.19,8.75
65,Puerto Ayora,40,EC,1619799951,69,-0.7393,-90.3518,82.4,11.5
66,Iquique,0,CL,1619799736,52,-20.2208,-70.1431,69.8,16.11
67,New Norfolk,3,AU,1619799952,85,-42.7826,147.0587,51.01,3.06
